elo_diff,h2h_home_win_rate,h2h_total_games,home_venue_win_rate,away_venue_win_rate,rolling_margin_diff,rolling_score_for_diff,rolling_score_against_diff,rolling_win_rate_diff,streak_diff,rest_diff,ladder_position_diff,venue_encoded,away_interstate,home_interstate
106.0,0.5,20.0,0.5,0.5,-14.099999999999998,-20.099999999999994,-6.0,0.09999999999999998,4.0,2.0,6.0,9.0,1.0,0.0
75.0,0.4,15.0,0.6666666666666666,0.0,9.399999999999999,-7.599999999999994,-17.0,0.19999999999999998,7.0,-7.0,1.0,13.0,0.0,0.0
-230.4,0.6666666666666666,18.0,0.0,0.5,-42.2,-16.5,25.700000000000003,-0.5,-10.0,-2.0,-5.0,17.0,1.0,0.0
226.6,0.55,20.0,0.6666666666666666,0.5,37.8,22.200000000000003,-15.599999999999994,0.6000000000000001,3.0,6.0,11.0,9.0,1.0,0.0
-2.5,0.4375,16.0,1.0,0.4,-21.200000000000003,-18.400000000000006,2.8000000000000114,-0.10000000000000003,-5.0,3.0,1.0,13.0,0.0,0.0
42.9,0.4444444444444444,18.0,1.0,0.5,27.5,13.299999999999997,-14.200000000000003,0.19999999999999996,-2.0,1.0,4.0,26.0,1.0,1.0
-71.9,0.375,16.0,0.25,0.5,7.400000000000002,9.600000000000009,2.200000000000003,-0.1,-8.0,-1.0,-1.0,17.0,1.0,0.0
244.9,0.8421052631578947,19.0,0.6666666666666666,0.5,15.700000000000001,4.299999999999997,-11.400000000000006,0.3,5.0,0.0,6.0,19.0,1.0,0.0
82.5,0.4375,16.0,0.6666666666666666,0.5,28.8,15.599999999999994,-13.200000000000003,0.19999999999999996,7.0,0.0,4.0,17.0,1.0,0.0
32.0,0.64,25.0,1.0,1.0,19.099999999999998,20.5,1.4000000000000057,0.10000000000000009,5.0,7.0,3.0,13.0,0.0,0.0
182.5,0.3888888888888889,18.0,0.563961038961039,0.0,33.7,22.099999999999994,-11.600000000000009,0.19999999999999998,7.0,-1.0,5.0,6.0,1.0,0.0
-6.7,0.631578947368421,19.0,0.5,0.5,18.1,1.5,-16.599999999999994,0.20000000000000007,2.0,-1.0,4.0,13.0,1.0,0.0
145.4,0.75,20.0,0.75,0.5,35.1,17.700000000000003,-17.39999999999999,0.5,7.0,0.0,5.0,19.0,1.0,0.0
236.8,0.4666666666666667,15.0,0.6666666666666666,0.5,32.7,23.299999999999997,-9.399999999999991,0.39999999999999997,2.0,1.0,7.0,4.0,1.0,0.0
171.2,0.6875,16.0,0.5,0.5,37.2,26.89999999999999,-10.299999999999997,0.49999999999999994,4.0,1.0,9.0,12.0,0.0,0.0
95.7,0.6,15.0,0.3333333333333333,0.5,15.100000000000001,11.899999999999991,-3.200000000000003,0.10000000000000009,-2.0,1.0,7.0,13.0,1.0,0.0
15.6,0.7222222222222222,18.0,0.75,0.5,26.1,13.200000000000003,-12.899999999999991,0.20000000000000007,0.0,-1.0,4.0,0.0,1.0,0.0
